Product Name, Cost of Goods Sold,  Selling Price, Gross Margin, Quantity Sold, Total Profit
Smartphone X,200.00,500.00,300.00,150,45000.00
Laptop Pro 14,800.00,1500.00,700.00,80,56000.00
Wireless Earbuds,30.00,100.00,70.00,400,28000.00
4K Monitor,150.00,350.00,200.00,120,24000.00
Gaming Mouse,25.00,60.00,35.00,300,10500.00
Smartwatch S,70.00,200.00,130.00,250,32500.00
Bluetooth Speaker,40.00,120.00,80.00,180,14400.00
Graphics Card RTX,400.00,800.00,400.00,50,20000.00
Mechanical Keyboard,50.00,130.00,80.00,200,16000.00
External SSD 1TB,80.00,150.00,70.00,140,9800.00
Tablet Plus,180.00,400.00,220.00,90,19800.00
Smart Home Hub,35.00,90.00,55.00,220,12100.00
Drone Camera,250.00,600.00,350.00,60,21000.00
Wireless Charger,10.00,30.00,20.00,500,10000.00
Fitness Tracker,25.00,70.00,45.00,300,13500.00
Action Camera,120.00,300.00,180.00,75,13500.00
VR Headset,200.00,450.00,250.00,55,13750.00
Smart Light Bulb,8.00,25.00,17.00,800,13600.00
Noise Cancelling Headphones,90.00,200.00,110.00,110,12100.00
Portable Projector,100.00,250.00,150.00,40,6000.00
Smart Thermostat,50.00,150.00,100.00,130,13000.00
Electric Scooter,250.00,600.00,350.00,45,15750.00
Robot Vacuum,180.00,400.00,220.00,60,13200.00
Gaming Console,300.00,500.00,200.00,80,16000.00
Smart Doorbell,45.00,120.00,75.00,140,10500.00
Noise Cancelling Microphone,35.00,80.00,45.00,180,8100.00
3D Printer,400.00,900.00,500.00,20,10000.00
Smart Lock,60.00,150.00,90.00,110,9900.00
Smart Glasses,100.00,250.00,150.00,50,7500.00
Portable Power Bank,20.00,50.00,30.00,350,10500.00
Wireless Router,30.00,80.00,50.00,200,10000.00
Smart Security Camera,70.00,180.00,110.00,90,9900.00
Portable SSD 500GB,50.00,120.00,70.00,140,9800.00
Bluetooth Keyboard,25.00,60.00,35.00,210,7350.00
E-Reader,60.00,130.00,70.00,95,6650.00
Photo Printer,80.00,200.00,120.00,60,7200.00
Smart Plug,10.00,30.00,20.00,400,8000.00
Smart Scale,15.00,50.00,35.00,220,7700.00
Gaming Headset,40.00,100.00,60.00,130,7800.00
Digital Drawing Tablet,90.00,200.00,110.00,45,4950.00
Smart Mirror,120.00,300.00,180.00,35,6300.00
USB-C Hub,10.00,25.00,15.00,370,5550.00
Wireless Presenter,8.00,20.00,12.00,420,5040.00
Smart Coffee Maker,80.00,200.00,120.00,50,6000.00
Portable Monitor,100.00,250.00,150.00,45,6750.00
Smart Water Bottle,20.00,60.00,40.00,160,6400.00
Laptop Cooling Pad,15.00,40.00,25.00,260,6500.00
Smart Projector,200.00,500.00,300.00,30,9000.00
Wi-Fi Range Extender,25.00,60.00,35.00,180,6300.00
